identifier	time_total_s	time_perevent_s
Reader:CsvSimHitReader	0.05699	0.019
Reader:CsvParticleReader	0.003534	0.001178
Algorithm:DigitizationAlgorithm	0.03783	0.01261
Algorithm:TruthSeedSelector	0.0007043	0.0002348
Algorithm:ParticleSmearing	0.0001981	6.602e-05
Algorithm:TruthTrackFinder	0.0006354	0.0002118
Algorithm:TrackFittingAlgorithm	0.1142	0.03808
Writer:RootTrajectoryStatesWriter	0.08923	0.02974
Writer:RootTrajectoryParametersWriter	0.00294	0.0009801
Writer:TrackFinderPerformanceWriter	0.001974	0.0006581
Writer:TrackFitterPerformanceWriter	0.002109	0.0007029
Writer:RootTrajectoryStatesWriter:endRun	0.07168	0.02389
Writer:RootTrajectoryParametersWriter:endRun	0.001518	0.0005059
Writer:TrackFinderPerformanceWriter:endRun	0.006299	0.0021
Writer:TrackFitterPerformanceWriter:endRun	0.1241	0.04135
